ID;joke;answer;blanks
1;What do you call a cow with no legs?;Ground beef;cow, legs, ground
2;What do you call a cow with two legs?;Lean beef; cow, legs, lean
3;What do you call a cow with all of its legs?;High steaks; cow, legs, high, steaks
4;What do you call a mountain of cats?;A meowtain; mountain, cats, meowtain
5;What do you call a cow with a twitch?;Beef jerky; cow, twitch, jerky
6;What do you call a sleeping bull?;A bulldozer; bull, sleeping, bulldozer
7;What's a skeleton's favourite instrument?;Trombone; skeleton, instrument, trombone
8;Why was the broom late?;It over swept; broom, late, over, swept
9;What do you call a bear with no teeth?;A gummy bear; bear, teeth, gummy
10;What do you call a belt made of watches?;A waist of time; belt, watches, waist, time
11;Why don't scientists trust atoms?;They make up everything; scientists, atoms, make, everything
12;What do you call a fake noodle?;An impasta; fake, noodle, impasta
13;Why don't eggs tell jokes?;They'd crack up; eggs, jokes, crack
14;What do you call a pig that does karate?;A pork chop; pig, karate, pork, chop
15;Why was the math book sad?;Too many problems; math, book, sad, problems
16;What do you call a snowman with a six-pack?;An abdominal snowman; snowman, six-pack, abdominal
17;What do you call a fish with no eyes?;A fsh; fish, eyes, fsh
18;Why don't programmers like nature?;Too many bugs; nature, bugs
19;Why are giraffes slow to apologize?;It takes them a long time to swallow their pride;giraffes, slow, swallow, pride
20;What side of a leopard has the most spots?;The outside;outside
21;What did daddy fish do when mommy fish got herself lost?;He flounder;daddy, fish, mommy, flounder
22;What do you call an alligator with a vest?;An Investigator!;alligator, vest, investigator
23;Why did the coffee file a police report?;Because it was mugged.;police, report, mugged
24;Want to hear a joke about pizza?;Never mind it is too cheesy.;pizza, cheesy
25;How do you make gold soup?;You use 14 carrots.;gold, fourteen, carrots
26;How do you unlock a monastery door?;With a monk key.;monk, key
27;How did the desk lamp store manager feel when thieves stole all his lightbulbs?;He was delighted.;feel, stole, delighted
28;What do vegetarian zombies eat?;Graaaaaaiiiins......;zombies
29;What did the Triangle say to the Circle?;"""Your life is pointless.""";triangle, circle, life, pointless
30;What does music have to do with safety?;If you don't C sharp, you'll B flat.;sharp, flat
31;What's a pigs favourite muscle?;The hamstring.;pigs, muscle, hamstring
32;How do you stop a charging bull?;Take away its credit card!;stop, charging, credit, card
33;What do you call an Italian guy with a rubber toe?;Roberto;italian, rubber, roberto
34;What did Sean Connery say when his books fell on his head?;I blame my shelf;Connery, books, shelf
35;Why did the sand dune blush?;Because the sea weed;sand, weed
36;What do you call a noisy Chinese dog?;How-Ling;Chinese, dog, How-Ling
37;What do lawyers wear to court?;Law suits!;lawyers, wear, court, law, suits
38;What did one frog say to the other frog?;Time's fun when you're having flies.;frog, fun, flies
39;Why didn't the skeleton go to the party?;He had no *body* to go with;skeleton, party, body
40;Why do they call them light bulbs?;They don't weigh very much;light, weigh
41;What do you call someone who really loves breakfast?;A cereal killer.;breakfast, cereal, killer
42;Why was Cinderella thrown off the basketball team?;*She ran away from the ball.*;Cinderella, ran, ball
43;Why did the bicycle fall over?;Because it was two-tired.;bicycle, fall, tired
44;What do you call a loaf baked in a zoo?;Bread in captivity.;zoo, captivity
45;What does the horse call the pigs on his farm?;Neigh-boars.;horse, pigs, farm, neigh, boars
46;What do you call an economist at an amusement park who is just sitting around?;A lazy fair goer!;amusement, sitting, lazy, fair, goer
47;Why was the dolphin happy and the shark depressed?;The sharks life lacked porpoise.;sharks, porpoise
48;What's the best part of a baker's body?;Their buns.;body, buns
49;What did the flat iron say to the follicle?;Now let me get this straight...;iron, straight
50;Why did the cookie go to the gym?;To get in shape.;cookie, gym, shape
51;What do you call a penguin with a smoking problem?;It's a puffin!;penguin, smoking, puffin
52;How many South Americans does it take to change a lightbulb?;A Brazilian.;South, Americans, change, lightbulb, Brazilian
53;How did the musician catch his fish?;He castanet;musician, fish, castanet
54;Why did the strawberry go out with the pineapple?;Because he couldn't get a date!;out, date
55;What do dwarves use to cut their pizza?;Little Caesars;cut, Caesars
56;What did the horse say when he fell over?;"""Help! I've fallen and I can't giddy up.""";horse, giddy
57;What did the Buddhist say to the hotdog vendor?;Make me one with everything.;everything
58;Why did the bee go to the doctor?;He had honeycomb disease.;bee, doctor, disease
59;Why was the apricot late to the party?;He got stuck in a jam.;party, stuck, jam
60;Why was the belt locked up?;Because it held a pair of pants.;belt, locked, held, pants
61;Where did the cat go when it lost it's tail?;To the retail store!;tail, retail, store
62;What kind of beer does a cow brew?;Heifer-weizen.;beer, cow, Heifer
63;What fruit do Romeo and Juliet eat?;Cantelope;Romeo, Juliet, Cantelope
64;Why did the vampire use mouthwash?;Because he had bat breath;vampire, mouthwash, bat, breath
65;What is tuba plus tuba?;Fourba!;tuba, plus, fourba
66;Where did the team get their uniforms?;New Jersey;team, uniforms, New, Jersey
67;Why did the old man fall in the well?;Because he couldn't see that well.;well, see
68;How do you kill a circus?;You stab it in the juggler.;kill, circus, juggler
69;How much do pirates pay for earrings?;About a buck an ear.;pirates, earrings, buck
70;What Did Delaware?;A brand New Jersey!;Delaware, New, Jersey
71;What did the wall ask the picture?;How's it hanging?;wall, picture, hanging
72;How do crazy people go through the forest?;They take the psycho-path.;crazy, through, forest, psycho, path
73;Why did the chess master order a Russian bride?;He needed a Chech mate!;chess, Czech, mate
74;Why did the man with one hand cross the road?;To get to the second hand shop!;hand, cross, second
75;Why don't crabs give to charities?;They are shellfish.;charities, shellfish
76;What did the Hungarian say to the annoying kid?;"""You're nothing budapest!""";Hungarian, budapest
77;Why did the pencil go to the doctor?;It had a lead problem.;pencil, doctor, lead, problem
78;Which day do chickens fear most?;Fryday.;Fryday
79;How do you fix a broken pumpkin?;With a pumpkin patch!;fix, broken, pumpkin, patch
80;Why can't you hear a pterodactyl urinate?;Because of the silent P.;urinate, silent
81;Why do space rocks taste better than earth rocks?;Because they are a little meteor;space, rocks, earth, meteor
82;What did the fish say when it swam into the wall?;Dam!;wall, dam
83;Why did the turtle cross the road?;To get to the nearest Shell Station!;Shell
84;What kind of birds stick together?;Vel-crows;birds, stick, together, crows
85;Why did the radio go to the doctor?;It had static-itis.;radio, doctor, static
86;Why did the Chicken cross the playground?;To get to the other slide;playground, other, slide
87;Why do elephants hide behind trees?;To trip ants.;elephants, hide, trip, ants
88;What do you call a number that can't keep still?;A roamin numeral.;number, still, numeral
89;What did batman say to robin before robin got in the car?;get in the car;batman, robin, get
90;Why do gorillas have such big nostrils?;Cos they got big fingers.;gorillas, big, fingers
91;What happens when you don't serve drinks at a party?;There's no punch line.;drinks, punch, line
92;What is the ardent task of searching for a new wallpaper called?;Running a background check.;wallpaper, background, check
93;If all of Ireland sank, what part of it wouldn't?;County Cork;Ireland, sank, part, Cork
94;What do you call a man with his big toe above his shin?;Tony;toe, Tony
95;What did the floor say to the desk?;I can see your drawers!;desk, drawers
96;Want to hear a joke about a crappy restaurant?;Nevermind, I'm afraid it may be in poor taste.;taste
97;Why don't you see penguins in Britain?;Because they're afraid of Wales;afraid, Wales
98;Why are manhole covers round?;Because manholes are round.;round
99;How does a fish always know how much they weigh?;Because they have their own scales!;weigh, own, scales
100;"What goes ""Hahahahaha...*thud*""?";Someone laughing their head off;laughing, head
101;What do you call a midget psychic that broke out of prison?;A small medium at large!;prison, small, large
102;Have you heard what I think of windmills?;Big Fan.;think, windmills, big, fan
103;Where does the thumb meet its type?;At the SPACE BAR!;thumb, type, space, bar
104;What do you call a flower in Florida?;Orlando Bloom.;flower, Florida, Bloom
105;Did you hear about the butcher who backed into the meat grinder?;He got a little behind in his work.;butcher, backed, meat, behind, work
106;Why did the air freshener company go out of business?;Because they lacked common scents...;freshener, business, lacked, common, scents
107;Can February March?;No, but April May.;February, March, April, May
108;Did you hear about the guy who fell into an upholstery machine?;Now he's fully recovered.;machine, fully, recovered
109;What do you call a car that eats other cars?;A carnivore.;car, eats, carnivore
110;How does a cactus do his math homework?;It uses a cacti-lator!;cactus, math, homework, cacti, lator
111;Why should you avoid people dressed as celery?;They could be stalking you!;avoid, celery, stalking
112;What did the green grape say to the purple grape?;"""Breathe you idiot! Breathe!""";green, grape, purple, breathe
113;Why are contortionists always angry?;Their work usually has them pretty bent out of shape.;work, shape
114;What's the most beautiful thing in mathematics?;A cute angle;cute, angle
115;Where do weirdos ride their bicycles?;Psycho-paths.;bicycles, psycho, paths
116;Why did the squirrel cross the road on the telephone wire?;To be on the safe side!;telephone, safe, side
117;Why doesn't the Sun go to college?;Because he has a million degrees.;Sun, college, degrees
118;What did music tell the pancakes?;B flat.;music, pancakes, flat
119;Do you guys/gals like horse jokes?;Yeah or neigh?;horse, jokes, yeah, neigh
120;Why did the rabbit go to rehab?;He was hopped up on easter eggs.;easter, eggs
121;What's worse than a centipede with sore feet?;A giraffe with a sore throat;sore, feet, giraffe, throat
122;Why did the boy take a ladder to school?;He wanted to go to high school.;ladder, school, high
123;What do Egyptians do when their mass transit breaks down?;Get Anubis.;Egyptians, breaks, Anubis
124;What is green, sings and can be found in the fridge?;Elvis Parsley;sings, fridge, Elvis, Parsley
125;So how's the shoestring game goin'?;Right now, it's ALL TIED-UP!;shoe, tied
126;What do you call a truthful piece of paper?;Fax.;paper, fax
127;Why did the snail drink beer?;To come out of its shell!;beer, shell
128;How do porcupines play leapfrog?;Very carefully;carefully
129;What did Vincent van Gogh call himself when he joined the Justice League?;The Starry Knight;Vincent, Gogh, Starry, Knight
130;Why is Dr. Frankenstein never lonely?;He's good at making friends.;lonely, making, friends
131;Why was the hula hoop a great boxer?;It could go round for round.;hula, hoop, round
132;Do you have a hole in your sock?;"""No ..."" *(looks at sock)* ... How'd you get your foot in it?";hole, sock, foot
133;What state do most people live in?;Denial. Myself included.;state, denial, included
134;Why did the lion spit out the clown?;Because he tasted funny.;spit, clown, tasted, funny
135;Why did the raisin take the prune to the new year's ball?;Because he couldn't find a date!;date
136;What do you call a fish who works for the government?;An official.;fish, government, official
137;What did one wolf say to the other wolf?;Howls it going?;wolf, howls
138;How does a penguin build its house?;Igloos it together!;build, house, igloos, together
139;What do you call a plastic sheep?;Lambinated!;lambinated
140;What's red and is bad for your teeth?;A brick;brick
141;When does one play a corny game?;You play it by ear.;ear
142;What do fish smoke?;Seaweed!;seaweed
143;Why did the frog call his insurance company?;He had a jump in his car.;insurance, company, jump, car
144;What did the koala bear say to the barber?;You ca-lip this?;koala, lip
145;What do the French call artificial feet for cats?;Faux Paws;paws
146;What do you call beef that's been burned?;A mis-steak.;steak
147;Who invented fractions?;Henry the 1/8;fractions, Henry
148;What do you call a group of 8 rabbits?;A Rabbyte!;rabbits, Rabbyte
149;What does a nosey pepper do?;It gets jalapeno business.;nosey, pepper, jalapeno, business
150;Why did the fox cross the road?;It was chasing after the chicken!;chasing, chicken
151;How do you call for a bath?;With a Teletubbie.;bath, Teletubbie
152;Why did the dinosaur cross the road?;Because the chicken didn't exist.;dinosaur, chicken, exist
153;Why don't bears wear boots?;Because they like to walk around in their bear feet.;bear, walk
154;What do you call cheese that is by itself?;Provolone;Provolone
155;Did I tell you I'm joining a gym in Gainesborough?;Because I'm all about those gains bro;gym, gains, bro
156;Why were the Libyans eating money?;They were having dinar.;money, dinar
157;What do you call a very religious person who sleep walks?;A Roman Catholic.;sleep, walks, Roman, Catholic
158;What do you call security guards working outside Samsung shops?;Guardians of the Galaxy;security, guards, Samsung, Galaxy
159;Why is there very little honey in Belgium?;Because there is only one B in Belgium;honey, only
160;Why did the boy throw a clock out the window?;He wanted to see time fly.;throw, clock, time, fly
161;Knock knock. Who's there?;Well, not your parents, because your parents never knock!;parents
162;Why did the athlete take cold medicine?;To stop his runs.;stop, runs
163;How was Rome split in half?;With a pair of *Caesars*;half, Caesars
164;What did one dry erase marker say to the other?;I'm bored!;bored
165;What cars do cows drive?;Cattleacs;cows, drive, cattleacs
166;Why did the football coach go to the bank?;To get his quarter back.;football, bank, quarter, back
167;What do you call a dog in a diving bell?;A sub-woofer;dog, diving, sub, woofer
168;Why Does Snoop Dogg need an umbrella?;For drizzle, my nizzle.;Snoop, Dogg, umbrella, drizzle
169;What did aged mother cheddar say to her son the day of school photos?;Looking sharp.;photos, sharp
170;Why did the cowgirl name her pony ink?;Because it kept running out of the pen!;ink, running, pen
171;Why did the golfer wear two pairs of pants?;In case he gets a hole in one;golfer, hole
172;Why did the knife quit?;It couldn't CUT IT!;knife, quit, cut
173;Why did the vegetables hop into the boiling pot of water?;They were part of a stewicide pact.;vegetables, boiling, stew
174;Why did the mobster buy a planner?;So he could organise his crime;organise, crime
175;What did the mama cow say to the baby cow?;It's pasture bedtime!;baby, pasture, bedtime
176;What do you call a slice of bread from another country?;An immigraint.;bread, country, grain
177;Why did the table love playing volleyball?;Because it was always getting set;table, volleyball, set
178;Why can't college students take exams at the zoo?;Too many cheetahs;exams, zoo, cheetahs
179;What's green and fuzzy and can kill you if it falls from a tree?;A pool table.;pool, table
180;What is Mozart doing right now?;*Decomposing*;decomposing
181;How much did the skeleton charge for his excellent legal services?;An arm and a leg.;skeleton, charge, arm, leg
182;Why did the wave fail the driving test?;It kept crashing on the beach.;wave, fail, driving, test, crashing, beach
183;What's the longest word in the dictionary?;"""Smiles"" because there is a mile between each S!";longest, dictionary, smiles, mile
184;What kind of bee can never be understood?;A mumble-bee.;bee, understood, mumble
185;Why did the bee go to the doctor?;Because he had hives.;bee, doctor, hives
186;Which Pokemon got a cold?;Pik-a-choo.;cold, choo
187;Did you hear about the two monocles at the party?;They made spectacles out of themselves.;spectacles
188;What animal is best at hitting a baseball?;A bat!;baseball, bat
189;What did the 0 say to the 8?;Nice belt!;belt
190;Why should you never invite a boxer to a party?;He always throws the punch.;boxer, throws, punch
191;Did ya hear about the magic tractor?;It turned into a field;magic, tractor, turned, field
192;What are twins favorite fruits?;Pears;twins, fruits, pears
193;What happens to a frog's car when it breaks down?;It gets toad away.;breaks, toad, away
194;What do you call a t-shirt with stalks of wheat on it?;A crop top!;crop
195;What is the last thing to go through a fly's mind when it hits a windshield?;Its butt.;mind, butt
196;What did the Buffalo say when his child left for college?;Bison;buffalo, bison
197;What's made of brass and sounds like Tom Jones?;Trombones!;brass, sounds, Jones, trombones
198;Why did the tomato turn red?;Because it saw the salad dressing.;tomato, red, salad, dressing
199;Math problem: I had 10 chocolate bars and ate 9. What do I have now?;Diabetes.;chocolate, diabetes
200;Why are horses never overweight?;They're on a stable diet.;horses, overweight, stable, diet
201;Why couldn't the pirate learn the alphabet?;Because he was always lost at C.;pirate, alphabet, lost
202;How did the aquarium win the battle?;Giant fish tanks.;aquarium, battle, fish, tanks
203;How do locomotives know where they're going?;Lots of training;training
204;What's Forrest Gump's password?;1Forrest1;Forrest, password
205;What do you get hanging from Apple trees?;Sore arms.;hanging, sore, arms
206;What did celery say when he broke up with his girlfriend?;She wasn't right for me, so I really don't carrot all.;girlfriend, right, carrot
207;Where does Batman go to the bathroom?;The batroom.;Batman, bathroom, batroom
208;What is a witch's favorite subject in school?;Spelling!;subject, school, spelling
209;I'm reading a book about anti-gravity...;It's impossible to put down;reading, gravity, impossible
210;How can you tell a vampire has a cold?;They start coffin.;cold, coffin
211;How many bones are in the human hand?;A handful of them.;bones, hand, handful
212;Where do young cows eat lunch?;In the calf-ateria.;cows, calf
213;How do you steal a coat?;You jacket.;steal, coat, jacket
214;Why didn't the number 4 get into the nightclub?;Because he is 2 square.;square
215;What did one plate say to the other plate?;Dinner is on me!;plate, dinner
216;Why didn’t the orange win the race?;It ran out of juice.;orange, race, juice
217;Why did the programmer quit his job?;Because he didn't get arrays.;quit, arrays
218;What did Michael Jackson name his denim store?;Billy Jeans!;Billy, Jeans
219;Why is Peter Pan always flying?;Because he neverlands;flying, neverlands
220;Have you heard the rumor going around about butter?;Never mind, I shouldn't spread it.;butter, spread
221;What is this movie about?;It is about 2 hours long.;about, hours
222;Did you hear about the runner who was criticized?;He just took it in stride;stride
223;What do you give to a lemon in need?;Lemonaid.;lemon, aid
224;I started a new business making yachts in my attic this year...;The sails are going through the roof.;sails, through, roof
225;What did one nut say as he chased another nut?; I'm a cashew!;nut, chased, cashew
226;What lies at the bottom of the ocean and twitches?;A nervous wreck.;bottom, ocean, twitches, nervous, wreck
227;Why do bees hum?;Because they don't know the words.;words
228;Do you want a brief explanation of what an acorn is?;In a nutshell, it's an oak tree.;acorn, nutshell, oak
229;What do you call a group of killer whales playing instruments?;An orca-stra.;killer, whales, instruments, orca
230;Why did the worker get fired from the orange juice factory?;Lack of concentration.;fired, orange, factory, lack, concentration
231;What did the router say to the doctor?;It hurts when IP.;doctor, hurts
232;How do you make a tissue dance?;You put a little boogie on it.;tissue, dance, boogie
233;I couldn't get a reservation at the library...;They were fully booked.;reservation, library, fully, booked
234;What did the pirate say on his 80th birthday?;Aye Matey!;pirate, birthday, matey
235;What did the big flower say to the littler flower?;Hi, bud!;flower, bud
236;What kind of shoes does a thief wear?;Sneakers;shoes, thief, sneakers
237;What musical instrument is found in the bathroom?;A tuba toothpaste.;musical, instrument, bathroom, tuba, toothpaste
238;What did the Dorito farmer say to the other Dorito farmer?;Cool Ranch!;Dorito, farmer, cool, ranch
239;What do you get when you cross a rabbit with a water hose?;Hare spray.;rabbit, hare, spray
240;What do you call a bee that can't make up its mind?;A maybe.;bee, make, mind, maybe
241;How do hens stay fit?;They always egg-cercise!;hens, fit, egg
242;What's the best time to go to the dentist?;Tooth hurty.;dentist, tooth
243;What biscuit does a short person like?;Shortbread. ;short, bread
244;What was the pumpkin’s favorite sport?;Squash.;pumpkin, sport, squash
245;Did you hear about the submarine industry?;It really took a dive...;industry, dive
246;Why do ducks make great detectives?;They always quack the case.;ducks, detectives, quack, case
247;Why did the scarecrow win an award?;Because he was outstanding in his field.;scarecrow, award, outstanding, field
248;What do you call corn that joins the army?;Kernel.;corn, army, kernel
249;Why couldn't the lifeguard save the hippie?;He was too far out, man.;lifeguard, hippie
250;What do you call sad coffee?;Despresso.;coffee, despresso
251;Where do bees go to the bathroom?; The BP station.;bees, bathroom, station
252;Who is the coolest doctor in the hospital?;The hip doctor!;doctor
253;What did the beaver say to the tree?;It's been nice gnawing you.;beaver, gnawing
